codigo,descripcion,campo
T236,Corrosion de la muñeca y de la mano, de segundo grado
T237,Corrosion de la muñeca y de la mano, de tercer grado
T24,Quemadura y corrosion de la cadera y miembro inferior, excepto tobillo y pie
T240,Quemadura de la cadera y del miembro inferior, grado no especificado, excepto tobillo y pie
T241,Quemadura de la cadera y del miembro inferior, de primer grado, excepto tobillo y pie
T242,Quemadura de la cadera y del miembro inferior, de segundo grado, excepto tobillo y pie
T243,Quemadura de la cadera y del miembro inferior, de tercer grado, excepto tobillo y pie
T244,Corrosion de la cadera y del miembro inferior, grado no especificado, excepto tobillo y pie
T245,Corrosion de la cadera y del miembro inferior, de primer grado, excepto tobillo y pie
T246,Corrosion de la cadera y del miembro inferior, de segundo grado, excepto tobillo y pie
T247,Corrosion de la cadera y del miembro inferior, de tercer grado, excepto tobillo y pie
T25,Quemadura y corrosion del tobillo y del pie
T250,Quemadura del tobillo y del pie, grado no especificado
T251,Quemadura del tobillo y del pie, de primer grado
T252,Quemadura del tobillo y del pie, de segundo grado
T253,Quemadura del tobillo y del pie, de tercer grado
T254,Corrosion del tobillo y del pie, grado no especificado
T255,Corrosion del tobillo y del pie, de primer grado
T256,Corrosion del tobillo y del pie, de segundo grado
T257,Corrosion del tobillo y del pie, de tercer grado
T26,Quemadura y corrosion limitada al ojo y sus anexos
T260,Quemadura del parpado y area periocular
T261,Quemadura de la cornea y saco conjuntival
T262,Quemadura con ruptura y destruccion resultantes del globo ocular
T263,Quemadura de otras partes del ojo y sus anexos
T264,Quemadura del ojo y anexos, parte no especificada
T265,Corrosion del parpado y area periocular
T266,Corrosion de la cornea y saco conjuntival
T267,Corrosion con ruptura y destruccion resultantes del globo ocular
T268,Corrosion de otras partes del ojo y sus anexos
T269,Corrosion del ojo y anexos, parte no especificada
T27,Quemadura y corrosion de las vias respiratorias
T270,Quemadura de la laringe y la traquea
T271,Quemadura que afecta la laringe y la traquea con el pulmon
T272,Quemadura de otras partes de las vias respiratorias
T273,Quemadura de las vias respiratorias, parte no especificada
T274,Corrosion de la laringe y de la traquea
T275,Corrosion que afecta la laringe y la traquea con el pulmon
T276,Corrosion de otras partes de las vias respiratorias
T277,Corrosion de las vias respiratorias, parte no especificada
T28,Quemadura y corrosion de otros organos internos
T280,Quemadura de la boca y de la faringe
T281,Quemadura del esofago
T282,Quemadura de otras partes del tubo digestivo
T283,Quemadura de organos genitourinarios internos
T284,Quemadura de otros organos internos y de los no especificados
T285,Corrosion de la boca y de la faringe
T286,Corrosion del esofago
T287,Corrosion de otras partes del tubo digestivo
T288,Corrosion de organos genitourinarios internos
T289,Corrosion de otros organos internos y de los no especificados
T29,Quemadura y corrosion de multiples regiones del cuerpo
T290,Quemaduras de multiples regiones, grado no especificado
T291,Quemaduras de multiples regiones, mencionadas como de no mas de primer grado
T292,Quemaduras de multiples regiones, mencionadas como de no mas de segundo grado
T293,Quemaduras de multiples regiones, con mencion al menos de una quemadura de tercer grado
T294,Corrosiones de multiples regiones, grado no especificado
