codigo,descripcion,campo
K93,Trastornos de otros organos digestivos en enfermedades clasificadas en otra parte
K930,Trastornos tuberculosos del intestino, peritoneo y ganglios mesentericos (a18.3)
K931,Megacolon en la enfermedad de chagas (b57.3)
K938,Trastornos de otros organos digestivos especificados en enfermedades clasificadas en otra parte
L00,Sindrome estafilococico de la piel escaldada
L01,Impetigo
L010,Impetigo [cualquier sitio anatomico] [cualquier organismo]
L011,Impetiginizacion de otras dermatosis
L02,Absceso cutaneo, furunculo y antrax
L020,Absceso cutaneo, furunculo y antrax de la cara
L021,Absceso cutaneo, furunculo y antrax de la cuello
L022,Absceso cutaneo, furunculo y antrax del tronco
L023,Absceso cutaneo, furunculo y antrax de gluteos
L024,Absceso cutaneo, furunculo y antrax de miembro
L028,Absceso cutaneo, furunculo y antrax de otros sitios
L029,Absceso cutaneo, furunculo y antrax de sitio no especificado
L03,Celulitis
L030,Celulitis de los dedos de la mano y del pie
L031,Celulitis de otras partes de los miembros
L032,Celulitis de la cara
L033,Celulitis del tronco
L038,Celulitis de otros sitios
L039,Celulitis de sitio no especificado
L04,Linfadenitis aguda
L040,Linfadenitis aguda de cara, cabeza y cuello
L041,Linfadenitis aguda del tronco
L042,Linfadenitis aguda del miembro superior
L043,Linfadenitis aguda del miembro inferior
L048,Linfadenitis aguda de otros sitios
L049,Linfadenitis aguda de sitio no especificado
L05,Quiste pilonidal
L050,Quiste pilonidal con absceso
L059,Quiste pilonidal sin absceso
L08,Otras infecciones locales piel y tejido subcutaneo
L080,Pioderma
L081,Eritrasma
L088,Otras infecciones locales especificadas de la piel y del tejido subcutaneo
L089,Infeccion local de la piel y del tejido subcutaneo, no especificada
L10,Penfigo
L100,Penfigo vulgar
L101,Penfigo vegetante
L102,Penfigo foliaceo
L103,Penfigo brasileño [fogo selvagem]
L104,Penfigo eritematoso
L105,Penfigo inducido por drogas
L108,Otros penfigos
L109,Penfigo, no especificado
L11,Otros trastornos acantoliticos
L110,Queratosis folicular adquirida
L111,Dermatosis acantolitica transitoria [grover]
L118,Otros trastornos acantoliticos especificados
L119,Trastorno acantolitico, no especificado
L12,Penfigoide
L120,Penfigoide flictenular
L121,Penfigoide cicatricial
L122,Enfermedad flictenular cronica de la infancia
L123,Epidermolisis bullosa adquirida
L128,Otros penfigoides
L129,Penfigoide, no especificado
L13,Otros trastornos flictenulares
L130,Dermatitis herpetiforme
L131,Dermatitis pustulosa subcorneal
L138,Otros trastornos flictenulares especificados
L139,Trastorno flictenular, no especificado
L14,Trastornos flictenulares en enfermedades clasificadas en otra parte
L20,Dermatitis atopica
L200,Prurigo de besnier
L208,Otras dermatitis atopicas
L209,Dermatitis atopica, no especificada
L21,Dermatitis seborreica
L210,Seborrea capitis
L211,Dermatitis seborreica infantil
L218,Otras dermatitis seborreicas
L219,Dermatitis seborreica, no especificada
L22,Dermatitis del panal
L23,Dermatitis alergica de contacto
L230,Dermatitis alergica de contacto debida a metales
L231,Dermatitis alergica de contacto debida a adhesivos
L232,Dermatitis alergica de contacto debida a cosmeticos
L233,Dermatitis alergica de contacto debida a drogas en contacto con la piel
L234,Dermatitis alergica de contacto debida a colorantes
L235,Dermatitis alergica de contacto debida a otros productos quimicos
L236,Dermatitis alergica de contacto debida a alimentos en contacto con la piel
L237,Dermatitis alergica de contacto debida a plantas, excepto las alimenticias
L238,Dermatitis alergica de contacto debida a otros agentes
L239,Dermatitis alergica de contacto, de causa no especificada
L240,Dermatitis de contacto por irritantes, debida a detergentes
L241,Dermatitis de contacto por irritantes, debida a aceites y grasas
L242,Dermatitis de contacto por irritantes, debida a disolventes
L243,Dermatitis de contacto por irritantes, debida a cosmeticos
L244,Dermatitis de contacto por irritantes, debida a drogas en contacto con la piel
L245,Dermatitis de contacto por irritantes, debida a otros productos quimicos
L246,Dermatitis de contacto por irritantes, debida a alimentos en contacto con la piel
L247,Dermatitis de contacto por irritantes, debida a plantas, excepto las alimenticias
L248,Dermatitis de contacto por irritantes, debida a otros agentes
L249,Dermatitis de contacto por irritantes, de causa no especificada
L25,Dermatitis de contacto forma no especificada
L250,Dermatitis de contacto, forma no especificada, debida a cosmeticos
L251,Dermatitis de contacto, forma no especificada, debida a drogas en contacto con la piel
L252,Dermatitis de contacto, forma no especificada, debida a colorantes
L253,Dermatitis de contacto, forma no especificada, debida a otros productos quimicos
L254,Dermatitis de contacto, forma no especificada, debida a alimentos en contacto con la piel
L255,Dermatitis de contacto, forma no especificada, , debida a plantas, excepto las alimenticias
L258,Dermatitis de contacto, forma no especificada, debida a otros agentes
L259,Dermatitis de contacto, forma y causa no especificadas
L26,Dermatitis exfoliativa
L27,Dermatitis debida a sustancias ingeridas
L270,Erupcion cutanea generalizada debida a drogas y medicamentos
