codigo,descripcion,campo
Z081,Examen de seguimiento consecutivo a radioterapia por tumor maligno
Z082,Examen de seguimiento consecutivo a quimioterapia por tumor maligno
Z087,Examen de seguimiento consecutivo a tratamiento combinado por tumor maligno
Z088,Examen de seguimiento consecutivo a otro tratamiento por tumor maligno
Z089,Examen de seguimiento consecutivo a otro tratamiento no especificado por tumor maligno
Z09,Examen de seguimiento consecutivo a tratamiento por otras afecciones
Z090,Examen de seguimiento consecutivo a cirugia por otras afecciones
Z091,Examen de seguimiento consecutivo a radioterapia por otras afecciones
Z092,Examen de seguimiento consecutivo a quimioterapia por otras afecciones
Z093,Examen de seguimiento consecutivo a psicoterapia
Z094,Examen de seguimiento consecutivo a tratamiento de fractura
Z097,Examen de seguimiento consecutivo a tratamiento combinado por otras afecciones
Z098,Examen de seguimiento consecutivo a otro tratamiento por otras afecciones
Z099,Examen de seguimiento consecutivo a tratamiento no especificado por otras afecciones
Z10,Control general de salud de rutina de subpopoblaciones definidas
Z100,Examen de salud ocupacional
Z101,Control general de salud de rutina de residentes de instituciones
Z102,Control general de salud de rutina a miembros de las fuerzas armadas
Z103,Control general de salud de rutina a integrantes de equipos deportivos
Z108,Otros controles generales de salud de rutina de otras subpoblaciones definidas
Z11,Examen de pesquisa especial para enfermedades infecciosas y parasitarias
Z110,Examen de pesquisa especial para enfermedades infecciosas intestinales
Z111,Examen de pesquisa especial para tuberculosis respiratoria
Z112,Examen de pesquisa especial para otras enfermedades bacterianas
Z113,Examen de pesquisa especial para infecciones de transmision predominantemente sexual
Z114,Examen de pesquisa especial para el virus de la inmunodeficiencia humana [vih]
Z115,Examen de pesquisa especial para otras enfermedades virales
Z116,Examen de pesquisa especial para otras enfermedades debidas a protozoarios y helmintos
Z118,Examen de pesquisa especial para otras enfermedades infecciosas y parasitarias especificadas
Z119,Examen de pesquisa especial para enfermedades infecciosas y parasitarias no especificadas
Z12,Examen de pesquisa especial para tumores
Z120,Examen de pesquisa especial para tumor de estomago
Z121,Examen de pesquisa especial para tumor de intestino
Z122,Examen de pesquisa especial para tumores de organos respiratorios
Z123,Examen de pesquisa especial para tumor de la mama
Z124,Examen de pesquisa especial para tumor del cuello uterino
Z125,Examen de pesquisa especial para tumor de la prostata
Z126,Examen de pesquisa especial para tumor de la vejiga
Z128,Examen de pesquisa especial para tumores de otros sitios
Z129,Examen de pesquisa especial para tumor de sitio no especificado
Z13,Examen de pesquisa especial para otras enfermedades y trastornos
Z130,Examen de pesquisa especial para enfermedades de la sangre y organos hematopoyeticos y ciertos trastornos del mecanismo de la inmunidad
Z131,Examen de pesquisa especial para diabetes mellitus
Z132,Examen de pesquisa especial para trastornos de la nutricion
Z133,Examen de pesquisa especial para trastornos mentales y del comportamiento
Z134,Examen de pesquisa especial para ciertos trastornos del desarrollo en el niño
Z135,Examen de pesquisa especial para trastornos del ojo y del oido
Z136,Examen de pesquisa especial para trastornos cardiovasculares
Z137,Examen de pesquisa especial para malformaciones congenitas, deformidades y anomalias cromosomicas
Z138,Examen de pesquisa especial para otras enfermedades y trastornos especificados
Z139,Examen de pesquisa especial, no especificado
Z20,Contacto con y exposicion a enfermedades transmisibles
Z200,Contacto con y exposicion a enfermedades infecciosas intestinales
Z201,Contacto con y exposicion a tuberculosis
Z202,Contacto con y exposicion a enfermedades infecciosas con un modo de transmision predominantemente sexual
Z203,Contacto con y exposicion a rabia
Z204,Contacto con y exposicion a rubeola
Z205,Contacto con y exposicion a hepatitis viral
Z206,Contacto con y exposicion al virus de la inmunodeficiencia humana [vih]
Z207,Contacto con y exposicion a pediculosis, acariasis y otras infestaciones
Z208,Contacto con y exposicion a otras enfermedades transmisibles
Z209,Contacto con y exposicion a enfermedades transmisibles no especificadas
Z21,Estado de infeccion asintomatica por el virus de la inmunodeficiencia humana [ vih ]
Z22,Portador de enfermedad infecciosa
Z220,Portador de fiebre tifoidea
Z221,Portador de otras enfermedades infecciosas intestinales
Z222,Portador de difteria
Z223,Portador de otras enfermedades bacterianas especificadas
Z224,Portador de enfermedades infecciosas con un modo de transmision predominantemente sexual
Z225,Portador de hepatitis viral
Z226,Portador de enfermedad infecciosa debida al virus humano t
Z228,Portador de otras enfermedades infecciosas
Z229,Portador de enfermedad infecciosa no especificada
Z23,Necesidad de inmunizacion contra enfermedad bacteriana unica
Z230,Necesidad de inmunizacion solo contra el colera
Z231,Necesidad de inmunizacion solo contra la tifoidea
Z232,Necesidad de inmunizacion contra la tuberculosis [bcg]
Z233,Necesidad de inmunizacion contra la peste
Z234,Necesidad de inmunizacion contra la tularemia
Z235,Necesidad de inmunizacion solo contra el tetanos
Z236,Necesidad de inmunizacion solo contra la difteria
Z237,Necesidad de inmunizacion solo contra la tos ferina
Z238,Necesidad de inmunizacion solo contra otra enfermedad bacteriana
Z24,Necesidad de inmunizacion contra ciertas enfermedades virales
Z240,Necesidad de inmunizacion contra la poliomielitis
Z241,Necesidad de inmunizacion contra la encefalitis viral transmitida por artropodos
Z242,Necesidad de inmunizacion contra la rabia
Z243,Necesidad de inmunizacion contra la fiebre amarilla
Z244,Necesidad de inmunizacion solo contra el sarampion
Z245,Necesidad de inmunizacion solo contra la rubeola
Z246,Necesidad de inmunizacion contra la hepatitis viral
Z25,Necesidad de inmunizacion contra otras enfermedades virales unicas
Z250,Necesidad de inmunizacion solo contra la parotiditis
Z251,Necesidad de inmunizacion contra la influenza [gripe]
Z258,Necesidad de inmunizacion contra otras enfermedades virales unicas especificadas
Z26,Necesidad de inmunizacion contra otras enfermedades infecciosas unicas
Z260,Necesidad de inmunizacion contra la leishmaniasis
Z268,Necesidad de inmunizacion contra otras enfermedades infecciosas unicas especificadas
Z269,Necesidad de inmunizacion contra enfermedad infecciosa no especificadas
Z27,Necesidad de inmunizacion contra combinacion de enfermedades infecciosas
Z270,Necesidad de inmunizacion contra el colera y la tifoidea
Z271,Necesidad de inmunizacion contra difteria
Z272,Necesidad de inmunizacion contra difteria
Z273,Necesidad de inmunizacion contra difteria
Z274,Necesidad de inmunizacion contra sarampion
Z278,Necesidad de inmunizacion contra otras combinaciones de enfermedades infecciosas
Z279,Necesidad de inmunizacion contra combinaciones no especificadas de enfermedades infecciosas
Z28,Inmunizacion no realizada
Z280,Inmunizacion no realizada por contraindicacion
Z281,Inmunizacion no realizada por decision del paciente, por motivos de creencia o presion del grupo
Z282,Inmunizacion no realizada por decision del paciente, por otras razones y las no especificadas
Z288,Inmunizacion no realizada por otras razones
Z289,Inmunizacion no realizada por razon no especificada
Z29,Necesidad de otras medidas profilacticas
Z290,Aislamiento
Z291,Inmunoterapia profilactica
Z292,Otra quimioterapia profilactica
Z298,Otras medidas profilacticas especificadas
Z299,Medida profilactica no especificada
Z30,Atencion para la anticoncepcion
Z300,Consejo y asesoramiento general sobre la anticoncepcion
Z301,Insercion de dispositivo anticonceptivo (intrauterino)
Z302,Esterilizacion
Z303,Extraccion menstrual
Z304,Supervision del uso de drogas anticonceptivas
Z305,Supervision del uso de dispositivo anticonceptivo (intrauterino)
Z308,Otras atenciones especificadas para la anticoncepcion
Z309,Asistencia para la anticoncepcion, no especificada
Z31,Atencion para la procreacion
Z310,Tuboplastia o vasoplastia posterior a esterilizacion
Z311,Inseminacion artificial
Z312,Fecundacion in vitro
Z313,Otros metodos de atencion para la fecundacion
Z314,Investigacion y prueba para la procreacion
Z315,Asesoramiento genetico
Z316,Consejo y asesoramiento general sobre la procreacion
Z318,Otra atencion especificada para la procreacion
Z319,Atencion no especificada relacionada con la procreacion
Z32,Examen y prueba del embarazo
Z320,Embarazo (aun) no confirmado
Z321,Embarazo confirmado
