codigo,descripcion,campo
X783,Lesion autoinfligida intencionalmente por objeto cortante: areas de deporte y atletismo
X784,Lesion autoinfligida intencionalmente por objeto cortante: calles y carreteras
X785,Lesion autoinfligida intencionalmente por objeto cortante: comercio y areas de servicio
X786,Lesion autoinfligida intencionalmente por objeto cortante: area industrial y de la construccion
X787,Lesion autoinfligida intencionalmente por objeto cortante: granja
X788,Lesion autoinfligida intencionalmente por objeto cortante: otro lugar especificado
X789,Lesion autoinfligida intencionalmente por objeto cortante: lugar no especificado
X79,Lesion autoinflingida intencionalmente por objeto romo o sin filo
X790,Lesion autoinfligida intencionalmente por objeto romo o sin filo: vivienda
X791,Lesion autoinfligida intencionalmente por objeto romo o sin filo: institucion residencial
X792,Lesion autoinfligida intencionalmente por objeto romo o sin filo: escuelas, otras instituciones y areas administrativas publicas
X793,Lesion autoinfligida intencionalmente por objeto romo o sin filo: areas de deporte y atletismo
X794,Lesion autoinfligida intencionalmente por objeto romo o sin filo: calles y carreteras
X795,Lesion autoinfligida intencionalmente por objeto romo o sin filo: comercio y areas de servicio
X796,Lesion autoinfligida intencionalmente por objeto romo o sin filo: area industrial y de la construccion
X797,Lesion autoinfligida intencionalmente por objeto romo o sin filo: granja
X798,Lesion autoinfligida intencionalmente por objeto romo o sin filo: otro lugar especificado
X799,Lesion autoinfligida intencionalmente por objeto romo o sin filo: lugar no especificado
X80,Lesion autoinflingida intencionalmente al saltar desde un lugar elevado
X800,Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: vivienda
X801,Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: institucion residencial
X802,Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: escuelas, otras instituciones y areas administrativas publicas
X803,Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: areas de deporte y atletismo
X804,Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: calles y carreteras
X805,Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: comercio y areas de servicio
X806,Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: area industrial y de la construccion
X807,Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: granja
X808,Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: otro lugar especificado
X809,Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: lugar no especificado
X81,Lesion autoinflingida intencionalmente por arrojarse o colocarse delante de objeto en movimiento
X810,Lesion autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento: vivienda
X811,Lesion autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento: institucion residencial
X812,Lesion autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento: escuelas, otras instituciones y areas administrativas publicas
