codigo,descripcion,campo
P284,Otras apneas del recien nacido
P285,Insuficiencia respiratoria del recien nacido
P288,Otros problemas respiratorios especificados del recien nacido
P289,Afeccion respiratoria no especificada del recien nacido
P29,Trastornos cardiovasculares originados en el periodo perinatal
P290,Insuficiencia cardiaca neonatal
P291,Disritmia cardiaca neonatal
P292,Hipertension neonatal
P293,Persistencia de la circulacion fetal
P294,Isquemia miocardica transitoria del recien nacido
P298,Otros trastornos cardiovasculares originados en el periodo perinatal
P299,Trastorno cardiovascular no especificado, originado en el periodo perinatal
P35,Enfermedades virales congenitas
P350,Sindrome de rubeola congenita
P351,Infeccion citomegalovirica congenita
P352,Infecciones congenitas por virus del herpes simple
P353,Hepatitis viral congenita
P358,Otras enfermedades virales congenitas
P359,Enfermedad viral congenita, sin otra especificacion
P36,Sepsis bacteriana del recien nacido
P360,Sepsis del recien nacido debida a estreptococo del grupo b
P361,Sepsis del recien nacido debida a otros estreptococos y a los no especificados
P362,Sepsis del recien nacido debida a staphylococcus aureus
P363,Sepsis del recien nacido debida a otros estafilococos y a los no especificados
P364,Sepsis del recien nacido debida a escherichia coli
P365,Sepsis del recien nacido debida a anaerobios
P368,Sepsis del recien nacido debida a otras bacterias
P369,Sepsis bacteriana del recien nacido, no especificada
P37,Otras enfermedades infecciosas y parasitarias congenitas
P370,Tuberculosis congenita
P371,Toxoplasmosis congenita
P372,Listeriosis congenita (diseminada)
P373,Paludismo congenito por plasmodium falciparum
P374,Otros paludismos congenitos
P375,Candidiasis neonatal
P378,Otras enfermedades neonatales infecciosas o parasitarias especificadas
P379,Enfermedad infecciosa o parasitaria congenita, no especificada
P38,Onfalitis del recien nacido con o sin hemorragia leve
P39,Otras infecciones especificadas del periodo perinatal
P390,Mastitis infecciosa neonatal
P391,Conjuntivitis y dacriocistitis neonatales
P392,Infeccion intraamniotica del feto, no clasificada en otra parte
P393,Infeccion neonatal de las vias urinarias
P394,Infeccion cutanea neonatal
P398,Otras infecciones especificadas propias del periodo perinatal
P399,Infeccion propia del periodo perinatal, no especificada
P50,Perdida de sangre fetal
P500,Perdida de sangre fetal por vasa previa
P501,Perdida de sangre fetal por ruptura del cordon umbilical
P502,Perdida de sangre fetal por la placenta
P503,Hemorragia fetal hacia otro gemelo
P504,Hemorragia fetal hacia la circulacion materna
P505,Perdida de sangre fetal por el corte del cordon umbilical en el otro gemelo
P508,Otras perdidas de sangre fetal
P509,Perdida de sangre fetal no especificada
P51,Hemorragia umbilical del recien nacido
P510,Hemorragia umbilical masiva del recien nacido
P518,Otras hemorragias umbilicales del recien nacido
P519,Hemorragia umbilical del recien nacido, sin otra especificacion
P52,Hemorragia intracraneal no traumatica del feto y del recien nacido
P520,Hemorragia intraventricular (no traumatica) grado 1, del feto y del recien nacido
